"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","3324","2924","2856","1740","1636","1556","1516","1440","1376","1324","1268","1036","996","832"
"73","2025","2025","GH","Pmu","cul","F","UV","53","1","3","0.826142024780113","2.59170281132213","1.3714248377966","-0.0865275828338462","1.27598229760927","0.198571076654641","0.198571076654641","1.19953138788676","0.877605027797214","1.14477666999428","1.32233172315417","3.18365489222252","3.05451983507042","0.230688686055733"
"74","2025","2025","GH","Pmu","cut","A","CON"," 1","b","1","1.63842702932072","1.78603594631485","0.715063720723574","-0.086800935477994","1.6067861648146","0.288828430905769","0.14680086287464","0.996202517273186","0.779217746354542","0.810330707346396","0.747129180074952","3.00249891610104","2.88338491361358","-0.117747076975449"
"75","2025","2025","GH","Pmu","cut","A","CON"," 1","b","2","1.44736557198179","2.10843508570939","0.924125151238606","0.0438868005542277","1.49967609077085","0.101350652780639","0.101350652780639","1.10518986179888","0.848926653847418","0.936218149536983","0.923963966991168","2.98622101066308","2.86249550381062","-0.0430539546522024"
"76","2025","2025","GH","Pmu","cut","A","CON"," 1","b","3","1.71033739082273","1.63581574484235","0.621160425827664","-0.137909644599709","1.65099980386825","0.333737325544167","0.145294368022156","0.958897111299905","0.76809713215369","0.768796772817376","0.700378380505236","2.97011573038147","2.86161810408049","-0.133313616001828"
"77","2025","2025","GH","Pmu","cut","A","CON"," 2","a","1","1.38730766487545","2.04816961223402","0.891269854079541","-0.0355659092376464","1.67977396070959","0.136849788335542","0.136849788335542","1.06106337799339","0.849473005420322","0.923287095243059","0.837936682617773","3.12584171640986","3.04669605126357","-0.110043853980461"
"78","2025","2025","GH","Pmu","cut","A","CON"," 2","a","2","1.55834039937459","1.66391251818646","0.646551580539916","-0.140062527699352","1.79314147276504","0.416719778678177","0.191241584953058","0.969541962606497","0.834069110961899","0.801796201670411","0.700003148158815","3.19196069290235","3.13020258496196","-0.205439757399448"
"79","2025","2025","GH","Pmu","cut","A","CON"," 2","a","3","1.70097720544658","1.47686842766294","0.515768191947443","-0.207980520596183","1.89323437362064","0.525859595318305","0.235802118379315","0.909104821392459","0.811191131388383","0.73793434600455","0.612615480852359","3.08430585745501","2.97264312535593","-0.22563302249718"
"80","2025","2025","GH","Pmu","cut","A","CON"," 2","b","1","1.4124345648781","2.04624260610708","0.888384961665704","0.0172848531785951","1.47504067645442","0.103371317719995","0.0856654289840336","0.971636736965641","0.748350059048057","0.79856619590323","0.81564567136136","3.22815623021779","3.29879161217175","-0.101190490030558"
"81","2025","2025","GH","Pmu","cut","A","CON"," 2","b","2","1.34311238586634","2.22331338960609","0.999499551964132","0.0771696352625564","1.44174167900927","0.0889423896413727","0.0889423896413727","1.01046962311483","0.76645279437126","0.840203918100131","0.879260241793378","3.20578674357321","3.26937171418609","-0.0669576032527903"
"82","2025","2025","GH","Pmu","cut","A","CON"," 2","b","3","1.21937077629539","2.45332751783404","1.1511839686147","0.147866287438991","1.37870354875389","0.0710425567726793","0.0710425567726793","1.07936081235101","0.817657493551289","0.913860257063924","0.993051935464096","3.17320843114219","3.22112695895049","-0.040855340916677"
"83","2025","2025","GH","Pmu","cut","A","CON"," 4","a","1","1.33609948897189","2.06877902654732","0.930988609978687","0.100356181137756","1.31719519778708","0.0155184099099107","0.0405809605300023","0.91486621951763","0.70196192844493","0.729865946012937","0.770206955746744","3.51441822597001","3.58580291041013","-0.13558436855865"
"84","2025","2025","GH","Pmu","cut","A","CON"," 4","a","2","1.19763793768075","2.26218876422915","1.06678131274439","0.133494687554061","1.26564240209257","-0.0637384127576354","0.0548516510333069","0.966591844448626","0.728126638299384","0.810845729031908","0.869539561692422","3.50620624451322","3.56426726660133","-0.0714236808935943"
"85","2025","2025","GH","Pmu","cut","A","CON"," 4","a","3","1.24530293580462","2.113686935165","0.973756275805637","0.0785139075320457","1.28337804434195","-0.0302913473166844","0.0516773009512494","0.932593466482874","0.713403779449949","0.775714534770133","0.81336436517487","3.57808315158576","3.6504974866747","-0.0983924266767534"
"86","2025","2025","GH","Pmu","cut","A","CON"," 4","b","1","1.46808430599322","1.75419346535801","0.744375121120572","-0.0938375359907085","1.34241988930034","0.0595497329085791","0.0595497329085791","0.897095697106688","0.722437856132432","0.700272977677443","0.721573545935365","3.55873631300894","3.52832011875806","-0.154623079180076"
"87","2025","2025","GH","Pmu","cut","A","CON"," 4","b","2","1.30457216196209","2.07200255076444","0.94333349449863","0.01889234398675","1.29756209987563","0.0708417174835095","0.0708417174835095","0.966459960518194","0.75850386668002","0.790928423099681","0.842088160184402","3.51796045008071","3.44818894674341","-0.105322929857661"
"88","2025","2025","GH","Pmu","cut","A","CON"," 4","b","3","1.40697066460703","1.88748346044975","0.826409355644761","-0.0249948590300275","1.3227751308505","0.0628864030165913","0.0628864030165913","0.923055324986608","0.743317518314063","0.730263740293023","0.768999811547353","3.54190692854069","3.49067395456618","-0.155234298971878"
"89","2025","2025","GH","Pmu","cut","A","CON"," 5","a","1","1.22036623294322","2.22755668087518","1.0187874413467","-0.0506882108890911","1.63055325855361","0.187464770763464","0.184465902778412","1.17157186405054","0.946708761109072","1.03343115667406","0.994327450245905","3.15550469009649","2.86367650669039","-0.0810243049802467"
"90","2025","2025","GH","Pmu","cut","A","CON"," 5","a","2","1.21731516250862","2.25928170178832","1.04099055941925","-0.0856091982883206","1.60578219226799","0.158209478428733","0.174813570473144","1.16929768704171","0.934323830296732","1.0533036116624","0.998328338013299","3.137707468374","2.84229122747014","-0.0407386093006604"
"91","2025","2025","GH","Pmu","cut","A","CON"," 5","a","3","1.19460455906545","2.30626909436867","1.07118969741031","-0.0683802754704445","1.59869508319318","0.13694746456112","0.170835941725357","1.18830978420232","0.958279892429807","1.07134716272493","1.04331810160867","3.11234064673396","2.83702336808536","-0.0306883433566005"
