"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio"
"212",2025,2025,"GH","Pmu","cut","C","UV",4,"a",3,0.4690813,0.461526,0.01188267,579,582,0.00515463917525773
"213",2025,2025,"GH","Pmu","cut","C","UV",4,"b",1,0.4281423,0.4238264,0.016895132,558,563,0.0088809946714032
"214",2025,2025,"GH","Pmu","cut","C","UV",4,"b",2,0.4292859,0.4238264,0.016895132,558,563,0.0088809946714032
"215",2025,2025,"GH","Pmu","cut","C","UV",4,"b",3,0.4459007,0.4238264,0.016895132,558,563,0.0088809946714032
"216",2025,2025,"GH","Pmu","cut","C","UV",5,"b",1,0.4102115,0.413146,0.039764788,571,622,0.0819935691318328
"217",2025,2025,"GH","Pmu","cut","C","UV",5,"b",2,0.4172749,0.413146,0.039764788,571,622,0.0819935691318328
"218",2025,2025,"GH","Pmu","cut","C","UV",5,"b",3,0.4429156,0.413146,0.039764788,571,622,0.0819935691318328
"219",2025,2025,"GH","Pmu","cut","C","UV",6,"a",1,0.3921725,0.373978,0.029429815,517,556,0.0701438848920863
"220",2025,2025,"GH","Pmu","cut","C","UV",6,"a",2,0.4555616,0.373978,0.029429815,517,556,0.0701438848920863
"221",2025,2025,"GH","Pmu","cut","D","CON",1,"a",1,0.4259748,0.431687,0.039487241,556,558,0.003584229390681
"222",2025,2025,"GH","Pmu","cut","D","CON",1,"a",2,0.4212425,0.431687,0.039487241,556,558,0.003584229390681
"223",2025,2025,"GH","Pmu","cut","D","CON",1,"a",3,0.4261744,0.431687,0.039487241,556,558,0.003584229390681
"224",2025,2025,"GH","Pmu","cut","D","CON",2,"b",1,0.4522514,0.4512269,0.013410557,587,589,0.0033955857385399
"225",2025,2025,"GH","Pmu","cut","D","CON",2,"b",2,0.4636593,0.4512269,0.013410557,587,589,0.0033955857385399
"226",2025,2025,"GH","Pmu","cut","D","CON",2,"b",3,0.4536703,0.4512269,0.013410557,587,589,0.0033955857385399
"227",2025,2025,"GH","Pmu","cut","D","CON",3,"a",1,0.3762357,0.3838187,0.090338316,600,644,0.0683229813664596
"228",2025,2025,"GH","Pmu","cut","D","CON",3,"a",2,0.3756693,0.3838187,0.090338316,600,644,0.0683229813664596
"229",2025,2025,"GH","Pmu","cut","D","CON",3,"a",3,0.3814173,0.3838187,0.090338316,600,644,0.0683229813664596
"230",2025,2025,"GH","Pmu","cut","D","CON",4,"a",1,0.4585605,0.5109276,0.112825156,581,605,0.0396694214876033
"231",2025,2025,"GH","Pmu","cut","D","CON",4,"a",2,0.4450673,0.5109276,0.112825156,581,605,0.0396694214876033
